Input Size          Brute Force         Divide and Conquer  Kadane's Algorithm  
0                   0                   0                   0                   
100                 15                  8                   0                   
200                 59                  16                  1                   
300                 130                 25                  1                   
400                 231                 32                  1                   
500                 435                 45                  2                   
600                 547                 56                  2                   
700                 742                 56                  2                   
800                 911                 66                  2                   
900                 1152                75                  2                   
1000                1421                84                  3                   
1100                1708                91                  3                   
1200                1973                108                 3                   
1300                2340                164                 4                   
1400                2816                118                 4                   
1500                3083                140                 5                   
1600                3552                130                 4                   
1700                4166                164                 5                   
1800                4899                166                 6                   
1900                5484                173                 6                   
2000                7103                167                 6                   
2100                7288                244                 9                   
2200                9420                278                 9                   
2300                7739                202                 7                   
2400                8446                202                 6                   
2500                11381               253                 8                   
2600                9679                213                 7                   
2700                10009               244                 7                   
2800                10907               227                 8                   
2900                14361               314                 12                  
3000                14457               480                 17                  
3100                16062               261                 9                   
3200                17868               317                 11                  
3300                15837               273                 9                   
3400                16179               433                 14                  
3500                19381               324                 10                  
3600                17606               363                 11                  
3700                18945               325                 11                  
3800                20343               366                 13                  
3900                20583               350                 10                  
4000                22181               349                 11                  
4100                23398               346                 12                  
4200                29490               404                 14                  
4300                27904               389                 11                  
4400                26708               397                 13                  
4500                30830               488                 16                  
4600                30624               391                 12                  
4700                38934               398                 12                  
4800                35048               522                 20                  
4900                34201               422                 13                  
5000                38759               613                 19                  
5100                39811               501                 16                  
5200                36820               433                 14                  
5300                42741               442                 14                  
5400                42889               504                 17                  
5500                45287               718                 23                  
5600                54653               555                 18                  
5700                52096               515                 17                  
5800                54644               681                 24                  
5900                51762               509                 16                  
6000                56998               509                 17                  
6100                61607               514                 17                  
6200                64486               792                 25                  
6300                65116               757                 23                  
6400                64912               557                 17                  
6500                68394               621                 20                  
6600                65570               578                 17                  
6700                68726               606                 18                  
6800                65797               648                 17                  
6900                69142               667                 18                  
7000                74070               1266                36                  
7100                76766               701                 20                  
7200                83076               823                 23                  
7300                83325               637                 21                  
7400                80598               741                 25                  
7500                89953               888                 25                  
7600                91075               839                 22                  
7700                98456               1081                31                  
7800                95258               741                 21                  
7900                87893               772                 22                  
8000                92048               888                 26                  
8100                95138               819                 47                  
8200                105508              722                 21                  
8300                107091              714                 21                  
8400                105496              725                 22                  
8500                111950              846                 23                  
8600                122123              751                 22                  
8700                108979              815                 21                  
8800                118483              843                 23                  
8900                117272              1353                31                  
9000                127460              1049                34                  
9100                173725              791                 25                  
9200                114880              868                 23                  
9300                131752              970                 30                  
9400                152694              840                 25                  
9500                133807              896                 22                  
9600                129577              828                 25                  
9700                130291              1268                28                  
9800                138633              961                 26                  
9900                141112              914                 29                  
10000               153042              1177                32                  
10100               146240              1056                38                  
10200               140741              868                 27                  
10300               151973              957                 25                  
10400               148971              928                 25                  
10500               154525              1040                29                  
10600               169015              924                 27                  
10700               161697              1291                38                  
10800               172380              966                 39                  
10900               222423              1043                29                  
11000               174964              1134                35                  
11100               189211              1526                44                  
11200               181752              1013                30                  
11300               245280              1501                44                  
11400               192327              1070                28                  
11500               197886              1251                38                  
11600               199650              982                 32                  
11700               193868              1271                37                  
11800               196803              1063                31                  
11900               209947              1126                31                  
12000               218222              1159                53                  
