#Input Size         Brute Force         Divide and Conquer  Kadane's Algorithm  
1                   0                   0                   0                   
101                 16                  9                   0                   
201                 56                  18                  0                   
301                 124                 26                  1                   
401                 219                 34                  1                   
501                 339                 45                  2                   
601                 526                 54                  2                   
701                 660                 61                  2                   
801                 856                 69                  3                   
901                 1082                77                  2                   
1001                1336                86                  3                   
1101                1959                120                 6                   
1201                1920                104                 4                   
1301                2253                111                 3                   
1401                2774                130                 4                   
1501                3925                163                 6                   
1601                3410                146                 5                   
1701                3848                156                 5                   
1801                5910                217                 7                   
1901                4793                174                 6                   
2001                5313                180                 5                   
2101                6778                193                 6                   
2201                6430                199                 7                   
2301                7371                204                 7                   
2401                7994                211                 7                   
2501                8698                229                 6                   
2601                9306                232                 7                   
2701                9726                244                 7                   
2801                10761               254                 8                   
2901                11383               271                 9                   
3001                11975               264                 8                   
3101                14066               553                 16                  
3201                13597               289                 9                   
3301                14790               308                 9                   
3401                15315               309                 9                   
3501                16466               320                 10                  
3601                17948               350                 10                  
3701                19201               337                 10                  
3801                19259               346                 10                  
3901                20462               358                 11                  
4001                26213               362                 11                  
4101                22462               378                 12                  
4201                24510               399                 12                  
4301                24430               394                 12                  
4401                25841               404                 12                  
4501                27138               416                 13                  
4601                32520               421                 13                  
4701                29381               415                 14                  
4801                31244               434                 12                  
4901                32439               441                 12                  
5001                33513               456                 13                  
5101                35122               453                 13                  
5201                35944               462                 14                  
5301                37284               474                 15                  
5401                40232               485                 14                  
5501                40403               491                 15                  
5601                44584               653                 18                  
5701                43302               554                 14                  
5801                45406               579                 15                  
5901                46389               525                 16                  
6001                48231               587                 16                  
6101                50038               535                 16                  
6201                55169               614                 17                  
6301                56736               576                 17                  
6401                59360               628                 17                  
6501                61135               593                 17                  
6601                62751               643                 18                  
6701                64491               630                 18                  
6801                62110               673                 17                  
6901                66315               638                 18                  
7001                67573               643                 18                  
7101                67599               639                 19                  
7201                69065               684                 19                  
7301                81103               691                 20                  
7401                73412               686                 19                  
7501                79494               708                 31                  
7601                78313               718                 19                  
7701                79348               768                 30                  
7801                81171               763                 20                  
7901                83514               780                 21                  
8001                85393               766                 20                  
8101                92553               796                 20                  
8201                89634               787                 20                  
8301                96319               834                 23                  
8401                97177               1037                26                  
8501                96592               827                 23                  
8601                98485               837                 24                  
8701                104289              799                 25                  
8801                106040              936                 27                  
8901                111578              827                 22                  
9001                107938              865                 23                  
9101                115133              842                 24                  
9201                112804              828                 25                  
9301                115171              837                 25                  
9401                118042              941                 25                  
9501                120333              900                 24                  
9601                122372              955                 26                  
9701                125994              950                 23                  
9801                130839              898                 24                  
9901                134234              913                 25                  
10001               140110              923                 27                  
10101               135498              922                 26                  
10201               138675              1004                24                  
10301               144871              927                 26                  
10401               143898              988                 28                  
10501               146633              957                 28                  
10601               147915              979                 27                  
10701               157247              985                 29                  
10801               157296              1127                28                  
10901               162268              1010                28                  
11001               159021              1086                28                  
11101               163876              1031                30                  
11201               171186              1025                29                  
11301               179457              1124                28                  
11401               173065              1050                28                  
11501               182729              1439                36                  
11601               181480              1102                32                  
11701               179986              1108                31                  
11801               192991              1135                29                  
11901               185090              1083                30                  
12001               190139              1150                30                  
12101               198080              1567                41                  
12201               214622              1095                32                  
12301               202594              1208                30                  
12401               204386              1123                31                  
12501               216436              1232                30                  
12601               210938              1171                31                  
12701               213337              1184                32                  
12801               218824              1200                32                  
12901               228354              1218                34                  
13001               241945              1617                43                  
13101               261588              1402                32                  
13201               262740              1343                35                  
13301               241523              1317                32                  
13401               268026              1282                36                  
13501               280375              1941                54                  
13601               263778              1367                33                  
13701               269676              1296                34                  
13801               292455              1375                36                  
13901               289477              1381                35                  
14001               291373              1318                34                  
14101               300326              1315                34                  
14201               313390              1466                39                  
14301               291305              1435                35                  
14401               284194              1354                36                  
14501               323944              1413                39                  
14601               288463              1384                35                  
14701               312845              2309                57                  
14801               302065              2288                52                  
14901               341555              1723                44                  
15001               334411              1444                39                  
15101               348731              1910                43                  
15201               326483              1859                46                  
